node_count, connection_count, accuracy
99,1642,96.0
65,839,94.0
99,634,94.0
88,631,93.0
46,172,96.0
38,156,96.0
71,1004,94.0
91,1997,93.0
55,356,95.0
43,157,94.0
68,1070,94.0
98,1112,93.0
89,1574,94.0
92,1078,94.0
88,354,94.0
94,1677,95.0
45,160,96.0
52,255,94.0
54,481,96.0
99,1627,95.0
81,992,94.0
99,1677,95.0
99,1475,96.0
90,1550,95.0
70,867,96.0
93,2023,95.0
56,566,95.0
60,612,94.0
88,793,94.0
58,628,95.0
94,1959,95.0
94,1963,94.0
60,576,94.0
87,1312,95.0
94,1970,96.0
95,2559,94.0
71,629,95.0
99,1144,96.0
88,988,94.0
52,349,94.0
61,545,95.0
41,201,96.0
83,1526,96.0
39,86,95.0
58,700,95.0
87,1148,93.0
94,968,94.0
94,1583,95.0
72,855,95.0
49,273,95.0
