node_count, connection_count, accuracy
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,6,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
5,7,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,5,100.0
4,5,100.0
4,5,100.0
6,5,100.0
4,5,100.0
4,5,100.0
5,7,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,6,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,6,100.0
5,5,100.0
4,5,100.0
4,5,100.0
4,5,100.0
5,6,100.0
